カット番号,セクション,,台本（ナレーション）,,,,NanoBanana プロンプト1,NanoBanana プロンプト2
56,パート4：【残酷な生存条件】「シェフの味付け」だけではもう生き残れない,,"間違ってはいないです。でも、正直に言うと……足りないんですよね。
> 📸 【T4 合成音声オワコン化の予言 — 13.4万インプレッション】",,,,"A stylish screen capture overlay showing ""T4 合成音声オワコン化の予言 — 13.4万インプレッション"", YouTube UI elements, dark mode, high quality, neon blue accents","A high-tech digital screenshot of ""T4 合成音声オワコン化の予言 — 13.4万インプレッション"", UI mockup, cinematic lighting, depth of field, 8k resolution"
57,パート4：【残酷な生存条件】「シェフの味付け」だけではもう生き残れない,,"Xでインプレッション13万を超えたこの投稿が本質を突いています。
「丁寧に調べたり工夫して作った合成音声を使った動画も、AI動画の粗製乱造に巻き込まれて収益一括剥奪の流れになりそう。YouTubeも営利企業なのでブランド価値を守るためにも一括収益剥奪するしかなくなる。今後は生声実況や解説が必要な時代になるのかな？」
今回のBANラッシュを実際に食らった側の方も、はっきりとこう言っています。",,,,"Futuristic artificial intelligence core, glowing blue nodes, digital network, cyberpunk aesthetic, 8k","Endless rows of identical robots, assembly line, digital grid background, cinematic lighting, high tech"
58,パート4：【残酷な生存条件】「シェフの味付け」だけではもう生き残れない,,"「今後のYouTubeで生き残るのは、After EffectsやBlender、3Dアニメーションなど、編集技術がある程度高い動画だけだ」
「5年後にはそうなるかと思っていたが、今年からそんな傾向になっていくのかもしれない」
> 📸 【T14 「今回ばかりは終わりかも」】",,,,"A stylish screen capture overlay showing ""T14 「今回ばかりは終わりかも」"", YouTube UI elements, dark mode, high quality, neon blue accents","A high-tech digital screenshot of ""T14 「今回ばかりは終わりかも」"", UI mockup, cinematic lighting, depth of field, 8k resolution"
59,パート4：【残酷な生存条件】「シェフの味付け」だけではもう生き残れない,,"ゆっくり系の古参ファンからもこんな声が。
「クソみたいなクオリティでAI製ゆっくり動画を量産して、真面目に投稿してきた人らがとばっちりの収益化停止受ける。何回もゆっくり収益化停止騒動あったけど今回ばかりは終わりかもしれん」
> 📸 【T13 「好きだったチャンネルが全削除で涙止まらない」】",,,,"A stylish screen capture overlay showing ""T13 「好きだったチャンネルが全削除で涙止まらない」"", YouTube UI elements, dark mode, high quality, neon blue accents","A high-tech digital screenshot of ""T13 「好きだったチャンネルが全削除で涙止まらない」"", UI mockup, cinematic lighting, depth of field, 8k resolution"
60,パート4：【残酷な生存条件】「シェフの味付け」だけではもう生き残れない,,"視聴者側からも。
「ゆっくり収益化停止祭りに巻き込まれて動画全削除の流れとなり涙が止まらない」
今回、私も、ほかのチャンネルをいくつか運営していたり、動画編集スクールの運営もしていたりするので、いろんな情報が入ってきます。",,,,"Professional video editing workspace, glowing monitors, timeline interface, dark room, neon lighting, 8k","Creative technology concept, glowing UI elements, precise measurement tools, futuristic studio, cinematic"
61,パート4：【残酷な生存条件】「シェフの味付け」だけではもう生き残れない,,"で、みなさんが気になるであろう疑問を、私の知り合いがYouTubeのサポートに直接聞いてくれたので、その回答を共有しますね。
まず1つ目。
「今のチャンネルのジャンルを大幅に変更して再収益化に臨むのは問題ないですか？」",,,,"A stylish abstract background, dark mode, cinematic lighting, neon blue accents, high resolution","Minimalist futuristic interface, glowing particles, dark background, 4k ultra detailed, professional YouTube setup"
62,パート4：【残酷な生存条件】「シェフの味付け」だけではもう生き残れない,,"YouTube側の回答はこうです。
「YouTubeパートナープログラムの規約に準拠している限り、ジャンル変更に関しての問題はございません」
これ、良かったと思った人、少なくないんじゃないですかね。ジャンルを変えること自体はOKなんです。",,,,"A stylish abstract background, dark mode, cinematic lighting, neon blue accents, high resolution","Minimalist futuristic interface, glowing particles, dark background, 4k ultra detailed, professional YouTube setup"
63,パート4：【残酷な生存条件】「シェフの味付け」だけではもう生き残れない,,"次、2つ目。
「複数チャンネルが収益化停止している場合、全てのチャンネルの再収益化申請が通って初めて完全に元に戻るという流れになるのでしょうか？」
回答。",,,,"A stylish abstract background, dark mode, cinematic lighting, neon blue accents, high resolution","Minimalist futuristic interface, glowing particles, dark background, 4k ultra detailed, professional YouTube setup"
64,パート4：【残酷な生存条件】「シェフの味付け」だけではもう生き残れない,,"「はい、ご認識の通りでお間違いございません。運営なさっているチャンネル1つでもYouTubeパートナープログラムの規約に違反しているとの判断がされ、再審査請求が不承認となった場合は、他チャンネルの収益化を有効化できません。運営なさっているチャンネル全てが規約に準拠して収益化が有効な状態である必要がございます」
こんなプレッシャーかかる審査、なかなかないですよ。1チャンネルでもダメだったら、全部ダメ。
3つ目。",,,,"A stylish abstract background, dark mode, cinematic lighting, neon blue accents, high resolution","Minimalist futuristic interface, glowing particles, dark background, 4k ultra detailed, professional YouTube setup"
65,パート4：【残酷な生存条件】「シェフの味付け」だけではもう生き残れない,,"「特に問題なく現時点も収益化できているチャンネルが、残りのチャンネルの影響で収益化停止となった場合、運営方針など変更しなくても他のチャンネルが再収益化されればこちらのチャンネルも元通りになりますか？」
回答。
「関連チャンネルとして収益化が停止されたチャンネルに関しては、もとのポリシー違反をしたチャンネルの収益化が有効になり次第、収益化を再開することができるようになります」",,,,"A stylish abstract background, dark mode, cinematic lighting, neon blue accents, high resolution","Minimalist futuristic interface, glowing particles, dark background, 4k ultra detailed, professional YouTube setup"
66,パート4：【残酷な生存条件】「シェフの味付け」だけではもう生き残れない,,"これはよかった。ただ、投稿を止めてしまうと再生回数の基準を満たさなくなるリスクがあるので、巻き添えチャンネルも多少は投稿を続けておいた方がいいですね。
そして最後、これも聞いておきました。
「今回、1月28日に収益が停止されたチャンネルに関しては、1月28日までの収益は受け取れるのでしょうか？」",,,,"A stylish abstract background, dark mode, cinematic lighting, neon blue accents, high resolution","Minimalist futuristic interface, glowing particles, dark background, 4k ultra detailed, professional YouTube setup"
67,パート4：【残酷な生存条件】「シェフの味付け」だけではもう生き残れない,,"回答。
「停止から50日以内に異議申し立てに成功した場合、停止された収益は次の支払いサイクルで再投入され、現在の収益とまとめて計上されます。ただし、50日以内に異議申し立てに成功しなかった場合、収益は取り消されます」
つまり、ほとんどの人は受け取れないってことですよね。50日以内に異議申し立てが通る人なんて、ごくわずかですから。",,,,"A stylish abstract background, dark mode, cinematic lighting, neon blue accents, high resolution","Minimalist futuristic interface, glowing particles, dark background, 4k ultra detailed, professional YouTube setup"
68,パート4：【残酷な生存条件】「シェフの味付け」だけではもう生き残れない,,"……かなり厳しいです。でも、これが今の現実です。
生き残るための本当の条件は、人間味だけじゃないんです。
技術的品質も必要になってくるんですね。",,,,"Professional video editing workspace, glowing monitors, timeline interface, dark room, neon lighting, 8k","Creative technology concept, glowing UI elements, precise measurement tools, futuristic studio, cinematic"
69,パート4：【残酷な生存条件】「シェフの味付け」だけではもう生き残れない,,"コストを抑えて再生数が回る動画を量産する——その戦い方は、もう通用しなくなりました。
これからのYouTubeは、大きく2つに分かれると思います。
穴を潜り抜けて短期で稼ぎ逃げする人たちか。",,,,"Futuristic artificial intelligence core, glowing blue nodes, digital network, cyberpunk aesthetic, 8k","Endless rows of identical robots, assembly line, digital grid background, cinematic lighting, high tech"
70,パート4：【残酷な生存条件】「シェフの味付け」だけではもう生き残れない,,"高い編集技術を武器に、安定して堅実にチャンネルを運営していく人たちか。
もちろん、私がおすすめするのは後者です。圧倒的に後者です。
で、後者の道を歩みたいんだけど、「何から手をつけていいかわからない」「一人で学ぶのが正直不安」っていう方もいると思うんですよね。",,,,"Professional video editing workspace, glowing monitors, timeline interface, dark room, neon lighting, 8k","Creative technology concept, glowing UI elements, precise measurement tools, futuristic studio, cinematic"
71,パート4：【残酷な生存条件】「シェフの味付け」だけではもう生き残れない,,"実は、私が運営している動画編集スクールでは、まさに今回のような状況に対応するための編集スキルを体系的に学べる環境を用意しています。
非属人チャンネルを運営している方も実際に多く在籍していて、「量産型」から脱却するための編集テクニック——アニメーション、モーショングラフィックス、構成の組み方——を、現役のプロから直接学べる場になっています。
「90日間で何を学べばいいか」のロードマップも一緒に組めますし、同じ悩みを抱えている仲間もいるので、モチベーションも続きやすいんですよね。しかも、スキルが身についてきたら動画編集の案件も受けられる環境があるので、収益化が止まっている間の収入源にもなります。",,,,"Futuristic artificial intelligence core, glowing blue nodes, digital network, cyberpunk aesthetic, 8k","Endless rows of identical robots, assembly line, digital grid background, cinematic lighting, high tech"
72,パート4：【残酷な生存条件】「シェフの味付け」だけではもう生き残れない,,"興味がある方は、概要欄にリンクを貼っておきますので、ぜひ覗いてみてください。無理に入ってくださいとは言いません。ただ、「今のままじゃまずい」と少しでも感じた方は、その気持ちが鮮度のあるうちに動いてほしいなと思っています。
もし今、収益化停止を食らっている方がいたら。
もし今、「明日は我が身だ」と感じている方がいたら。",,,,"A stylish abstract background, dark mode, cinematic lighting, neon blue accents, high resolution","Minimalist futuristic interface, glowing particles, dark background, 4k ultra detailed, professional YouTube setup"
73,パート5：【逆襲の90日間】今すぐ「量産型」を卒業し、技術的強者へ,,"ここで立ち止まっている場合じゃないです。
> 📸 【T3 ゆっくりトラベルの前向きな姿勢 — 1,896いいね】",,,,"A stylish screen capture overlay showing ""T3 ゆっくりトラベルの前向きな姿勢 — 1,896いいね"", YouTube UI elements, dark mode, high quality, neon blue accents","A high-tech digital screenshot of ""T3 ゆっくりトラベルの前向きな姿勢 — 1,896いいね"", UI mockup, cinematic lighting, depth of field, 8k resolution"
74,パート5：【逆襲の90日間】今すぐ「量産型」を卒業し、技術的強者へ,,"ある方は、ご自身のチャンネルの収益化が停止されたにもかかわらず、こう言っています。
「収益化の状況にかかわらず、通常通り投稿予定です。大型企画も準備中。ゆくトラファミリーの皆さまにはご心配をおかけして申し訳ありません」
いいね1,896。この前向きな姿勢に、視聴者が支持を送っているんですよね。",,,,"A stylish abstract background, dark mode, cinematic lighting, neon blue accents, high resolution","Minimalist futuristic interface, glowing particles, dark background, 4k ultra detailed, professional YouTube setup"
75,パート5：【逆襲の90日間】今すぐ「量産型」を卒業し、技術的強者へ,,> 📸 【T7 ゆっくり数学の復活ストーリー再掲】,,,,"A stylish screen capture overlay showing ""T7 ゆっくり数学の復活ストーリー再掲"", YouTube UI elements, dark mode, high quality, neon blue accents","A high-tech digital screenshot of ""T7 ゆっくり数学の復活ストーリー再掲"", UI mockup, cinematic lighting, depth of field, 8k resolution"
76,パート5：【逆襲の90日間】今すぐ「量産型」を卒業し、技術的強者へ,,"そして、実際に復活した方がこう言っています。
「今回の件を受けて、こんなにも多くの方に支えられていることを改めて実感しました。今後も同じようなことが起きないとも言い切れないため、動画のクオリティやオリジナリティをさらに高めていきたい」
最後に、私の個人的な見解をお話しさせてください。",,,,"Bright glowing future, upward arrow made of light, cyan and gold particles, success concept, 8k resolution","A glowing door opening to bright light, volumetric lighting, hopeful atmosphere, cinematic, highly detailed"
77,パート5：【逆襲の90日間】今すぐ「量産型」を卒業し、技術的強者へ,,"私は、非属人YouTubeが終わったなんて、まったく思っていません。むしろ、今こそがチャンスだと思っています。
確かに、真面目にやっていた方も巻き添えを食らっています。本当に理不尽だと思います。
ただ、この流れは止まらない。YouTubeが「量産型コンテンツを排除する」と決めた以上、基準はもっと厳しくなる。だとしたら、やるべきことは1つ。「このチャンネルは明らかに量産型じゃない」と一目でわかるレベルまでクオリティを上げることです。",,,,"Bright glowing future, upward arrow made of light, cyan and gold particles, success concept, 8k resolution","A glowing door opening to bright light, volumetric lighting, hopeful atmosphere, cinematic, highly detailed"
78,パート5：【逆襲の90日間】今すぐ「量産型」を卒業し、技術的強者へ,,"YouTubeがやっているのは「非属人チャンネルを潰す」ことじゃない。「品質の底上げ」なんです。これからは、品質で差がつく時代になる。ちゃんと作り込んでいるチャンネルほど、視聴者の目に留まりやすくなります。
非属人YouTubeは終わっていません。終わったのは、「手を抜いても稼げた時代」です。
YouTubeが整備をしているこのタイミングで、自分のチャンネルの品質を一段上げておく。それだけで、あなたのチャンネルは今よりもっと伸びるはずです。",,,,"Bright glowing future, upward arrow made of light, cyan and gold particles, success concept, 8k resolution","A glowing door opening to bright light, volumetric lighting, hopeful atmosphere, cinematic, highly detailed"
79,パート5：【逆襲の90日間】今すぐ「量産型」を卒業し、技術的強者へ,,"一緒に、この波を乗り越えていきましょう。
以上です。",,,,"A stylish abstract background, dark mode, cinematic lighting, neon blue accents, high resolution","Minimalist futuristic interface, glowing particles, dark background, 4k ultra detailed, professional YouTube setup"
80,パート5：【逆襲の90日間】今すぐ「量産型」を卒業し、技術的強者へ,,,,,,"A stylish abstract background, dark mode, cinematic lighting, neon blue accents, high resolution","Minimalist futuristic interface, glowing particles, dark background, 4k ultra detailed, professional YouTube setup"
81,パート5：【逆襲の90日間】今すぐ「量産型」を卒業し、技術的強者へ,,,,,,"A stylish abstract background, dark mode, cinematic lighting, neon blue accents, high resolution","Minimalist futuristic interface, glowing particles, dark background, 4k ultra detailed, professional YouTube setup"
82,パート5：【逆襲の90日間】今すぐ「量産型」を卒業し、技術的強者へ,,,,,,"A stylish abstract background, dark mode, cinematic lighting, neon blue accents, high resolution","Minimalist futuristic interface, glowing particles, dark background, 4k ultra detailed, professional YouTube setup"
83,パート5：【逆襲の90日間】今すぐ「量産型」を卒業し、技術的強者へ,,,,,,"A stylish abstract background, dark mode, cinematic lighting, neon blue accents, high resolution","Minimalist futuristic interface, glowing particles, dark background, 4k ultra detailed, professional YouTube setup"
84,パート5：【逆襲の90日間】今すぐ「量産型」を卒業し、技術的強者へ,,,,,,"A stylish abstract background, dark mode, cinematic lighting, neon blue accents, high resolution","Minimalist futuristic interface, glowing particles, dark background, 4k ultra detailed, professional YouTube setup"
85,パート5：【逆襲の90日間】今すぐ「量産型」を卒業し、技術的強者へ,,,,,,"A stylish abstract background, dark mode, cinematic lighting, neon blue accents, high resolution","Minimalist futuristic interface, glowing particles, dark background, 4k ultra detailed, professional YouTube setup"
86,パート5：【逆襲の90日間】今すぐ「量産型」を卒業し、技術的強者へ,,,,,,"A stylish abstract background, dark mode, cinematic lighting, neon blue accents, high resolution","Minimalist futuristic interface, glowing particles, dark background, 4k ultra detailed, professional YouTube setup"
87,パート5：【逆襲の90日間】今すぐ「量産型」を卒業し、技術的強者へ,,,,,,"A stylish abstract background, dark mode, cinematic lighting, neon blue accents, high resolution","Minimalist futuristic interface, glowing particles, dark background, 4k ultra detailed, professional YouTube setup"
88,パート5：【逆襲の90日間】今すぐ「量産型」を卒業し、技術的強者へ,,,,,,"A stylish abstract background, dark mode, cinematic lighting, neon blue accents, high resolution","Minimalist futuristic interface, glowing particles, dark background, 4k ultra detailed, professional YouTube setup"
89,パート5：【逆襲の90日間】今すぐ「量産型」を卒業し、技術的強者へ,,,,,,"A stylish abstract background, dark mode, cinematic lighting, neon blue accents, high resolution","Minimalist futuristic interface, glowing particles, dark background, 4k ultra detailed, professional YouTube setup"
90,パート5：【逆襲の90日間】今すぐ「量産型」を卒業し、技術的強者へ,,,,,,"A stylish abstract background, dark mode, cinematic lighting, neon blue accents, high resolution","Minimalist futuristic interface, glowing particles, dark background, 4k ultra detailed, professional YouTube setup"
91,パート5：【逆襲の90日間】今すぐ「量産型」を卒業し、技術的強者へ,,,,,,"A stylish abstract background, dark mode, cinematic lighting, neon blue accents, high resolution","Minimalist futuristic interface, glowing particles, dark background, 4k ultra detailed, professional YouTube setup"
92,パート5：【逆襲の90日間】今すぐ「量産型」を卒業し、技術的強者へ,,,,,,"A stylish abstract background, dark mode, cinematic lighting, neon blue accents, high resolution","Minimalist futuristic interface, glowing particles, dark background, 4k ultra detailed, professional YouTube setup"
93,パート5：【逆襲の90日間】今すぐ「量産型」を卒業し、技術的強者へ,,,,,,"A stylish abstract background, dark mode, cinematic lighting, neon blue accents, high resolution","Minimalist futuristic interface, glowing particles, dark background, 4k ultra detailed, professional YouTube setup"
94,パート5：【逆襲の90日間】今すぐ「量産型」を卒業し、技術的強者へ,,,,,,"A stylish abstract background, dark mode, cinematic lighting, neon blue accents, high resolution","Minimalist futuristic interface, glowing particles, dark background, 4k ultra detailed, professional YouTube setup"
95,パート5：【逆襲の90日間】今すぐ「量産型」を卒業し、技術的強者へ,,,,,,"A stylish abstract background, dark mode, cinematic lighting, neon blue accents, high resolution","Minimalist futuristic interface, glowing particles, dark background, 4k ultra detailed, professional YouTube setup"
96,パート5：【逆襲の90日間】今すぐ「量産型」を卒業し、技術的強者へ,,,,,,"A stylish abstract background, dark mode, cinematic lighting, neon blue accents, high resolution","Minimalist futuristic interface, glowing particles, dark background, 4k ultra detailed, professional YouTube setup"
97,パート5：【逆襲の90日間】今すぐ「量産型」を卒業し、技術的強者へ,,,,,,"A stylish abstract background, dark mode, cinematic lighting, neon blue accents, high resolution","Minimalist futuristic interface, glowing particles, dark background, 4k ultra detailed, professional YouTube setup"
98,パート5：【逆襲の90日間】今すぐ「量産型」を卒業し、技術的強者へ,,,,,,"A stylish abstract background, dark mode, cinematic lighting, neon blue accents, high resolution","Minimalist futuristic interface, glowing particles, dark background, 4k ultra detailed, professional YouTube setup"
99,パート5：【逆襲の90日間】今すぐ「量産型」を卒業し、技術的強者へ,,,,,,"A stylish abstract background, dark mode, cinematic lighting, neon blue accents, high resolution","Minimalist futuristic interface, glowing particles, dark background, 4k ultra detailed, professional YouTube setup"
100,パート5：【逆襲の90日間】今すぐ「量産型」を卒業し、技術的強者へ,,,,,,"A stylish abstract background, dark mode, cinematic lighting, neon blue accents, high resolution","Minimalist futuristic interface, glowing particles, dark background, 4k ultra detailed, professional YouTube setup"
